company,city,state,source,source_id,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,pitch_angle
"B&H Fullfillment Center","Florence","NJ","osm_industrial","osm-708602064","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Amazon Fullfillment Center Abe8","Florence","NJ","osm_industrial","osm-708602065","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Amazon Fullfillment Center Acy2","Burlington Township","NJ","osm_industrial","osm-708602082","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Ashland Center Two","Folcroft","NJ","osm_industrial","osm-791393505","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Building 16","Nj-Phila Port","NJ","osm_industrial","osm-1080850150","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Auto Store","Nj-Phila Port","NJ","osm_industrial","osm-1126044302","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Titan Warehousing","Pemberton Township","NJ","osm_industrial","osm-1186571422","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Target Sortation Center","Nj-Phila Port","NJ","osm_industrial","osm-1335776110","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"East Coast Warehouse","Newark","NJ","osm_industrial","osm-95492589","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Prodalim","Elizabeth","NJ","osm_industrial","osm-96721418","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Amazon Sort Center Ewr5","Avenel","NJ","osm_industrial","osm-149919076","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Best Transportation","Newark","NJ","osm_industrial","osm-167890828","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Harbor Freight Transport","Newark","NJ","osm_industrial","osm-167890829","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Eastern Warehouse","Newark","NJ","osm_industrial","osm-167890831","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Salson Logistics","Newark","NJ","osm_industrial","osm-167890833","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Trt International","Newark","NJ","osm_industrial","osm-167890836","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Amrod","Newark","NJ","osm_industrial","osm-167890841","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Xpo Logistics","Newark","NJ","osm_industrial","osm-167890845","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"J & J Tristate Delivery Services","Wayne","NJ","osm_industrial","osm-274174803","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Dolan & Traynor Marketing Distributor","Wayne","NJ","osm_industrial","osm-274174808","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Patriot Pickle","Wayne","NJ","osm_industrial","osm-274174811","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Freedom Moving & Storage","Wayne","NJ","osm_industrial","osm-274174812","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Meyer Berkshire","Wayne","NJ","osm_industrial","osm-274174813","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mink Hair Ltd","Wayne","NJ","osm_industrial","osm-274177245","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Caravan Ingredients","Wayne","NJ","osm_industrial","osm-274180998","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Coco International","Wayne","NJ","osm_industrial","osm-313635959","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Lineage Logistics","Linden","NJ","osm_industrial","osm-378252069","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"United States Postal Service","Jersey City","NJ","osm_industrial","osm-400865194","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Florence Warehouse","Jersey City","NJ","osm_industrial","osm-409705820","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Lineage Logistics","Elizabeth","NJ","osm_industrial","osm-414862525","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Amazon Sny1","Kearny","NJ","osm_industrial","osm-415682125","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Walong Marketing Inc.","Jersey City","NJ","osm_industrial","osm-421187484","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Saia Ltl Freight","Newark","NJ","osm_industrial","osm-435775739","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Garden State Cold Storage","Newark","NJ","osm_industrial","osm-435781326","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Njtransit North Bergen","North Bergen","NJ","osm_industrial","osm-453063154","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Newark Distribution Terminal","Newark","NJ","auto_seed","solar-021","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","512285","","9221130","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","380,000 sqft warehouse"
"Nestle Usa Inc","Freehold","NJ","epa_ghgrp","epa-1001562","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Food manufacturing — 2022 EPA GHG Reporter. NAICS 311920. Pre-qualified high-energy solar candidate."
"Dsm Nutritional Products Llc","Belvidere","NJ","epa_ghgrp","epa-1001741","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325411. Pre-qualified high-energy solar candidate."
"Mcwane Ductile-New Jersey","Phillipsburg","NJ","epa_ghgrp","epa-1001878","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331511. Pre-qualified high-energy solar candidate."
"Praxair Inc","Carneys Point","NJ","epa_ghgrp","epa-1002021","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate."
"Samsung Electronics Co., Ltd.","Pine Brook","NJ","epa_ghgrp","epa-1002366","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 335220. Pre-qualified high-energy solar candidate."
"Chemours Chambers Works","Deepwater","NJ","epa_ghgrp","epa-1002618","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325199. Pre-qualified high-energy solar candidate."
"Solvay Specialty Polymers Usa, Llc","Thorofare","NJ","epa_ghgrp","epa-1002925","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325211. Pre-qualified high-energy solar candidate."
"Novartis Pharmaceuticals Corporation","East Hanover","NJ","epa_ghgrp","epa-1003098","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325412. Pre-qualified high-energy solar candidate."
"Merck Sharp & Dohme Llc - Rahway","Rahway","NJ","epa_ghgrp","epa-1003261","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325412. Pre-qualified high-energy solar candidate."
"Shapes Delair","Delair","NJ","epa_ghgrp","epa-1003424","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331316. Pre-qualified high-energy solar candidate."
"Linde Electronics And Specialty Gases","Hampton","NJ","epa_ghgrp","epa-1003529","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate."
"Mars Wrigley Confectionery Us, Llc","Hackettstown","NJ","epa_ghgrp","epa-1005417","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Food manufacturing — 2022 EPA GHG Reporter. NAICS 311352. Pre-qualified high-energy solar candidate."
"Cmc Steel New Jersey","Sayreville","NJ","epa_ghgrp","epa-1006708","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331110. Pre-qualified high-energy solar candidate."
"Bristol Myers Squibb Inc","North Brunswick","NJ","epa_ghgrp","epa-1006828","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325412. Pre-qualified high-energy solar candidate."
"E R Squibb & Sons Llc","Lawrenceville","NJ","epa_ghgrp","epa-1007271","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325412. Pre-qualified high-energy solar candidate."
"Concorde Specialty Gases","Eatontown","NJ","epa_ghgrp","epa-1010153","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate."
"Juno International, Llc","Eatontown","NJ","epa_ghgrp","epa-1010195","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate."
"Subaru Of America, Inc.","Camden","NJ","epa_ghgrp","epa-1010248","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336110. Pre-qualified high-energy solar candidate."
"Volvo Car Usa Llc","Rockleigh","NJ","epa_ghgrp","epa-1010326","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336111. Pre-qualified high-energy solar candidate."
"Basf Corporation","Florham Park","NJ","epa_ghgrp","epa-1010695","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325110. Pre-qualified high-energy solar candidate."
"Matheson Tri-Gas","Warren","NJ","epa_ghgrp","epa-1011779","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate."
"Mexichem Specialty Resins, Inc.","Pedricktown","NJ","epa_ghgrp","epa-1012948","333","Heavy Manufacturing","80","high","corporate","direct_purchase","industrial_shift","1140","1717661","292002","","5256036","","Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325211. Pre-qualified high-energy solar candidate."
"Calpine Newark","Newark","NJ","epa_ghgrp","epa-1000055","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Red Oak Power Llc","Sayreville","NJ","epa_ghgrp","epa-1000095","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Camden Cnty Resource Recovery Assoc","Camden","NJ","epa_ghgrp","epa-1000362","","","","","","","","600","904032","153685","","2766330","","Industrial facility — 2022 EPA GHG Reporter. NAICS 562213. Pre-qualified high-energy solar candidate."
"Ocean Peaking Power, Lp","Lakewood","NJ","epa_ghgrp","epa-1000373","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Pennsauken Sanitary Landfill","Pennsauken","NJ","epa_ghgrp","epa-1000429","","","","","","","","600","904032","153685","","2766330","","Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate."
"Usa Refrigerants","Old Bridge","NJ","epa_ghgrp","epa-1000474","","","","","","","","600","904032","153685","","2766330","","Industrial facility — 2022 EPA GHG Reporter. NAICS 424690. Pre-qualified high-energy solar candidate."
"Bayonne Energy Center","Bayonne","NJ","epa_ghgrp","epa-1000555","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Somerset Power Llc","Princeton","NJ","epa_ghgrp","epa-1000660","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"B L England","Marmora","NJ","epa_ghgrp","epa-1000732","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Carlls Corner Energy Center","Upper Deerfield Twp","NJ","epa_ghgrp","epa-1000733","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Cedar Energy Station","Cedar Run","NJ","epa_ghgrp","epa-1000734","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Middle Energy Center","Rio Grande","NJ","epa_ghgrp","epa-1000735","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Deepwater","Pennsville","NJ","epa_ghgrp","epa-1000737","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Werner","South Amboy","NJ","epa_ghgrp","epa-1000738","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Sayreville","Sayreville","NJ","epa_ghgrp","epa-1000740","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Gilbert Generating Station","Milford","NJ","epa_ghgrp","epa-1000741","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Bergen","Ridgefield","NJ","epa_ghgrp","epa-1000742","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Burlington Generating Station","Burlington","NJ","epa_ghgrp","epa-1000743","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Edison","Edison","NJ","epa_ghgrp","epa-1000744","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Essex","Newark","NJ","epa_ghgrp","epa-1000745","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Hudson Generating Station","Jersey City","NJ","epa_ghgrp","epa-1000746","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Kearny Generating Station","Kearny","NJ","epa_ghgrp","epa-1000747","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Mercer Generating Station","Hamilton","NJ","epa_ghgrp","epa-1000748","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Salem","Hancocks Bridge","NJ","epa_ghgrp","epa-1000750","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221113. Pre-qualified high-energy solar candidate."
"Howard M Down","Vineland","NJ","epa_ghgrp","epa-1000751","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"West Station","Vineland","NJ","epa_ghgrp","epa-1001065","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Forked River","Forked River","NJ","epa_ghgrp","epa-1001076","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
"Sherman Avenue","Vineland","NJ","epa_ghgrp","epa-1001110","","","","","","","","600","904032","153685","","2766330","","Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate."
